model,n,prevalence,accuracy,roc_auc,average_precision,brier,log_loss
Prevalence baseline,1407,0.2658137882018479,0.7341862117981521,0.5,0.2658137882018479,0.19515681950038175,0.5790505410100292
Frequentist logistic,1407,0.2658137882018479,0.8038379530916845,0.8390558106548085,0.6536799483460801,0.13800089148633093,0.42363582990943877
Bayesian hierarchical logistic,1407,0.2658137882018479,0.8045486851457001,0.8390428687535914,0.653655804252933,0.13796922259755703,0.4235486025412217
