seed,beta,z_alpha,mu_alpha,tau_alpha,centered_tau
11,0.29373333333333335,0.2931666666666667,0.2987,0.3017,0.3147
22,0.28676666666666667,0.2839333333333333,0.288,0.29986666666666667,0.3243333333333333
33,0.29256666666666664,0.2861666666666667,0.2976,0.3028,0.3244
44,0.29773333333333335,0.31183333333333335,0.30793333333333334,0.2964333333333333,0.324
