chain,beta,z_alpha,mu_alpha,tau_alpha
1,0.2878888888888889,0.23926666666666666,0.2996,0.28775555555555554
2,0.2946888888888889,0.3002888888888889,0.2967111111111111,0.24051111111111112
3,0.2833333333333333,0.34142222222222224,0.2926666666666667,0.24446666666666667
4,0.3081777777777778,0.33882222222222225,0.29706666666666665,0.3641333333333333
